origin,destination,distance
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,9457.0
Atithi Indian Cuisine,The Thonglor New York,9629.0
Atithi Indian Cuisine,Imm Thai NYC,8420.0
Atithi Indian Cuisine,The Art Students League of New York,9450.0
Atithi Indian Cuisine,The Jazz Gallery,8016.0
Atithi Indian Cuisine,David Zwirner,7870.0
Atithi Indian Cuisine,Conrad New York Downtown,10347.0
Atithi Indian Cuisine,Smyth Tribeca,8107.0
Atithi Indian Cuisine,Central Park,5766.0
Atithi Indian Cuisine,Prospect Park,4981.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,4981.0
Atithi Indian Cuisine,Washington Square Park,5701.0
Atithi Indian Cuisine,Hunter College Art Galleries,10942.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Clove Garden of India,10273.0
Atithi Indian Cuisine,Alpin Bistro,1627099.0
Atithi Indian Cuisine,Curia On the Drag,1626251.0
Atithi Indian Cuisine,Blue Boy Pizza,1628527.0
Atithi Indian Cuisine,Scuola Pizza,1627588.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,10518.0
Empyrean Indian Kitchen & Bar,The Thonglor New York,8472.0
Empyrean Indian Kitchen & Bar,Imm Thai NYC,6779.0
Empyrean Indian Kitchen & Bar,The Art Students League of New York,8766.0
Empyrean Indian Kitchen & Bar,The Jazz Gallery,9118.0
Empyrean Indian Kitchen & Bar,David Zwirner,8019.0
Empyrean Indian Kitchen & Bar,Conrad New York Downtown,6330.0
Empyrean Indian Kitchen & Bar,Smyth Tribeca,5830.0
Empyrean Indian Kitchen & Bar,Central Park,6314.0
Empyrean Indian Kitchen & Bar,Prospect Park,13106.0
Empyrean Indian Kitchen & Bar,Brooklyn Botanic Garden,13106.0
Empyrean Indian Kitchen & Bar,Washington Square Park,6872.0
Empyrean Indian Kitchen & Bar,Hunter College Art Galleries,11210.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,10518.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,10518.0
Empyrean Indian Kitchen & Bar,Sathi,8281.0
Empyrean Indian Kitchen & Bar,Mughlai Grill,7818.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,10518.0
Empyrean Indian Kitchen & Bar,Sathi,8281.0
Empyrean Indian Kitchen & Bar,Mughlai Grill,7818.0
Empyrean Indian Kitchen & Bar,Clove Garden of India,3290.0
Empyrean Indian Kitchen & Bar,Alpin Bistro,1616010.0
Empyrean Indian Kitchen & Bar,Curia On the Drag,1615162.0
Empyrean Indian Kitchen & Bar,Blue Boy Pizza,1617438.0
Empyrean Indian Kitchen & Bar,Scuola Pizza,1616499.0
The Thonglor New York,Atithi Indian Cuisine,12454.0
The Thonglor New York,Empyrean Indian Kitchen & Bar,8442.0
The Thonglor New York,Imm Thai NYC,8140.0
The Thonglor New York,The Art Students League of New York,910.0
The Thonglor New York,The Jazz Gallery,3258.0
The Thonglor New York,David Zwirner,3470.0
The Thonglor New York,Conrad New York Downtown,7268.0
The Thonglor New York,Smyth Tribeca,7191.0
The Thonglor New York,Central Park,7675.0
The Thonglor New York,Prospect Park,16789.0
The Thonglor New York,Brooklyn Botanic Garden,16789.0
The Thonglor New York,Washington Square Park,4790.0
The Thonglor New York,Hunter College Art Galleries,3354.0
The Thonglor New York,Atithi Indian Cuisine,12454.0
The Thonglor New York,Atithi Indian Cuisine,12454.0
The Thonglor New York,Sathi,4454.0
The Thonglor New York,Mughlai Grill,7872.0
The Thonglor New York,Atithi Indian Cuisine,12454.0
The Thonglor New York,Sathi,4454.0
The Thonglor New York,Mughlai Grill,7872.0
The Thonglor New York,Clove Garden of India,10518.0
The Thonglor New York,Alpin Bistro,1622169.0
The Thonglor New York,Curia On the Drag,1621322.0
The Thonglor New York,Blue Boy Pizza,1623598.0
The Thonglor New York,Scuola Pizza,1622659.0
Imm Thai NYC,Atithi Indian Cuisine,5721.0
Imm Thai NYC,Empyrean Indian Kitchen & Bar,6373.0
Imm Thai NYC,The Thonglor New York,8156.0
Imm Thai NYC,The Art Students League of New York,11170.0
Imm Thai NYC,The Jazz Gallery,7614.0
Imm Thai NYC,David Zwirner,4486.0
Imm Thai NYC,Conrad New York Downtown,1209.0
Imm Thai NYC,Smyth Tribeca,856.0
Imm Thai NYC,Central Park,985.0
Imm Thai NYC,Prospect Park,8040.0
Imm Thai NYC,Brooklyn Botanic Garden,8040.0
Imm Thai NYC,Washington Square Park,3060.0
