origin,destination,duration
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,1730.0
Atithi Indian Cuisine,The Thonglor New York,2025.0
Atithi Indian Cuisine,Imm Thai NYC,1337.0
Atithi Indian Cuisine,The Art Students League of New York,1892.0
Atithi Indian Cuisine,The Jazz Gallery,1500.0
Atithi Indian Cuisine,David Zwirner,1661.0
Atithi Indian Cuisine,Conrad New York Downtown,1458.0
Atithi Indian Cuisine,Smyth Tribeca,1279.0
Atithi Indian Cuisine,Central Park,1301.0
Atithi Indian Cuisine,Prospect Park,1202.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,1202.0
Atithi Indian Cuisine,Washington Square Park,1295.0
Atithi Indian Cuisine,Hunter College Art Galleries,1636.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Clove Garden of India,1824.0
Atithi Indian Cuisine,Alpin Bistro,54613.0
Atithi Indian Cuisine,Curia On the Drag,54497.0
Atithi Indian Cuisine,Blue Boy Pizza,54781.0
Atithi Indian Cuisine,Scuola Pizza,54494.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,2065.0
Empyrean Indian Kitchen & Bar,The Thonglor New York,1463.0
Empyrean Indian Kitchen & Bar,Imm Thai NYC,1320.0
Empyrean Indian Kitchen & Bar,The Art Students League of New York,1601.0
Empyrean Indian Kitchen & Bar,The Jazz Gallery,1601.0
Empyrean Indian Kitchen & Bar,David Zwirner,1325.0
Empyrean Indian Kitchen & Bar,Conrad New York Downtown,1166.0
Empyrean Indian Kitchen & Bar,Smyth Tribeca,999.0
Empyrean Indian Kitchen & Bar,Central Park,1155.0
Empyrean Indian Kitchen & Bar,Prospect Park,2646.0
Empyrean Indian Kitchen & Bar,Brooklyn Botanic Garden,2646.0
Empyrean Indian Kitchen & Bar,Washington Square Park,1389.0
Empyrean Indian Kitchen & Bar,Hunter College Art Galleries,2122.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,2065.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,2065.0
Empyrean Indian Kitchen & Bar,Sathi,1665.0
Empyrean Indian Kitchen & Bar,Mughlai Grill,1704.0
Empyrean Indian Kitchen & Bar,Atithi Indian Cuisine,2065.0
Empyrean Indian Kitchen & Bar,Sathi,1665.0
Empyrean Indian Kitchen & Bar,Mughlai Grill,1704.0
Empyrean Indian Kitchen & Bar,Clove Garden of India,797.0
Empyrean Indian Kitchen & Bar,Alpin Bistro,53650.0
Empyrean Indian Kitchen & Bar,Curia On the Drag,53534.0
Empyrean Indian Kitchen & Bar,Blue Boy Pizza,53817.0
Empyrean Indian Kitchen & Bar,Scuola Pizza,53530.0
The Thonglor New York,Atithi Indian Cuisine,1894.0
The Thonglor New York,Empyrean Indian Kitchen & Bar,1389.0
The Thonglor New York,Imm Thai NYC,1586.0
The Thonglor New York,The Art Students League of New York,261.0
The Thonglor New York,The Jazz Gallery,904.0
The Thonglor New York,David Zwirner,814.0
The Thonglor New York,Conrad New York Downtown,1246.0
The Thonglor New York,Smyth Tribeca,1246.0
The Thonglor New York,Central Park,1421.0
The Thonglor New York,Prospect Park,2600.0
The Thonglor New York,Brooklyn Botanic Garden,2600.0
The Thonglor New York,Washington Square Park,1127.0
The Thonglor New York,Hunter College Art Galleries,781.0
The Thonglor New York,Atithi Indian Cuisine,1894.0
The Thonglor New York,Atithi Indian Cuisine,1894.0
The Thonglor New York,Sathi,1131.0
The Thonglor New York,Mughlai Grill,1566.0
The Thonglor New York,Atithi Indian Cuisine,1894.0
The Thonglor New York,Sathi,1131.0
The Thonglor New York,Mughlai Grill,1566.0
The Thonglor New York,Clove Garden of India,1714.0
The Thonglor New York,Alpin Bistro,53871.0
The Thonglor New York,Curia On the Drag,53755.0
The Thonglor New York,Blue Boy Pizza,54038.0
The Thonglor New York,Scuola Pizza,53751.0
Imm Thai NYC,Atithi Indian Cuisine,1201.0
Imm Thai NYC,Empyrean Indian Kitchen & Bar,1151.0
Imm Thai NYC,The Thonglor New York,1574.0
Imm Thai NYC,The Art Students League of New York,1504.0
Imm Thai NYC,The Jazz Gallery,1253.0
Imm Thai NYC,David Zwirner,885.0
Imm Thai NYC,Conrad New York Downtown,494.0
Imm Thai NYC,Smyth Tribeca,315.0
Imm Thai NYC,Central Park,369.0
Imm Thai NYC,Prospect Park,1585.0
Imm Thai NYC,Brooklyn Botanic Garden,1585.0
Imm Thai NYC,Washington Square Park,930.0
Imm Thai NYC,Hunter College Art Galleries,1230.0
Imm Thai NYC,Atithi Indian Cuisine,1201.0
Imm Thai NYC,Atithi Indian Cuisine,1201.0
Imm Thai NYC,Sathi,1011.0
Imm Thai NYC,Mughlai Grill,808.0
Imm Thai NYC,Atithi Indian Cuisine,1201.0
Imm Thai NYC,Sathi,1011.0
Imm Thai NYC,Mughlai Grill,808.0
Imm Thai NYC,Clove Garden of India,1246.0
Imm Thai NYC,Alpin Bistro,54167.0
Imm Thai NYC,Curia On the Drag,54051.0
Imm Thai NYC,Blue Boy Pizza,54334.0
Imm Thai NYC,Scuola Pizza,54047.0
